Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range,Cell_border_start,
131022_M1_L3_E003,131022_M1_L3,988,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60,7-35;49-80;92-118;143-173;197-217;240-284;339-370;389-418;438-468;543-563,
131022_M1_L3_E004,131022_M1_L3,556,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60,7-35;49-80;92-118;143-173;197-217;240-284;339-370;389-418;438-468;543-563,
131022_M1_L3_E005,131022_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60,7-35;49-80;92-118;143-173;197-217;240-284;339-370;389-418;438-468;543-563,
161022_M1_L1_E001,161022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,30-60,1-23;37-71;85-122;136-174;195-216;223-252;263-291;305-329;397-430;448-482;498-528,
161022_M1_L1_E002,161022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,30-60,1-23;37-71;85-122;136-174;195-216;223-252;263-291;305-329;397-430;448-482;498-528,
161022_M1_L1_E003,161022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,30-60,1-23;37-71;85-122;136-174;195-216;223-252;263-291;305-329;397-430;448-482;498-528,
161022_M1_L1_E004,161022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,30-60,1-23;37-71;85-122;136-174;195-216;223-252;263-291;305-329;397-430;448-482;498-528,
161022_M1_L1_E005,161022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,30-60,1-23;37-71;85-122;136-174;195-216;223-252;263-291;305-329;397-430;448-482;498-528,
171022_M1_L1_E001,171022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-50,1-26;44-78;91-108;189-211;236-250;280-307;325-350;458-488;501-534,
171022_M1_L1_E002,171022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-50,1-26;44-78;91-108;189-211;236-250;280-307;325-350;458-488;501-534,
171022_M1_L1_E003,171022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-50,1-26;44-78;91-108;189-211;236-250;280-307;325-350;458-488;501-534,
171022_M1_L1_E004,171022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-50,1-26;44-78;91-108;189-211;236-250;280-307;325-350;458-488;501-534,
171022_M1_L1_E005,171022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-50,1-26;44-78;91-108;189-211;236-250;280-307;325-350;458-488;501-534,
171022_M1_L2_E001,171022_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-60,3-40;56-90;102-136;147-176;238-273;285-315;334-368;381-410;422-460;470-499;513-543,
171022_M1_L2_E002,171022_M1_L2,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60,3-40;56-90;102-136;147-176;238-273;285-315;334-368;381-410;422-460;470-499;513-543,
